"2007/01/10","09:30","CAD","M","Building Permits m/m","3.0%","2.0%","7.8%","6.1%","09705"
"2007/01/10","09:30","CAD","M","Trade Balance","4.7B","3.7B","3.8B","","03283"
"2007/01/10","09:30","USD","H","Trade Balance","-58.2B","-60.0B","-58.9B","","03282"
"2007/01/10","11:00","USD","L","JOLTS Job Openings","4.24M","","4.25M","4.21M","49269"
"2007/01/10","11:00","USD","L","Wholesale Inventories m/m","1.3%","0.4%","0.4%","0.8%","03314"
"2007/01/10","11:30","USD","L","Crude Oil Inventories","-5.0M","-1.5M","-1.3M","","03315"
"2007/01/10","17:30","AUD","L","MI Inflation Expectations","3.5%","","3.5%","","10396"
"2007/01/10","20:30","AUD","H","Employment Change","44.6K","12.0K","43.0K","36.2K","03285"
"2007/01/10","20:30","AUD","M","Unemployment Rate","4.6%","4.8%","4.6%","","03286"
"2007/01/10","21:35","CNY","H","Trade Balance","21.0B","21.6B","22.9B","","18393"
"2007/01/11","01:00","JPY","L","Leading Indicators","20.0%","20.0%","54.5%","50.0%","03306"
"2007/01/11","02:00","JPY","L","Prelim Machine Tool Orders y/y","-2.4%","","4.9%","4.8%","03307"
"2007/01/11","05:30","GBP","H","Manufacturing Production m/m","0.3%","0.2%","-0.3%","-0.4%","03288"
"2007/01/11","05:30","GBP","L","Industrial Production m/m","0.5%","0.2%","-0.6%","-0.8%","03287"
"2007/01/11","06:00","EUR","L","Final GDP q/q","0.5%","0.5%","0.5%","","21666"
"2007/01/11","08:00","GBP","H","MPC Rate Statement","","","","","08152"
"2007/01/11","08:00","GBP","H","Official Bank Rate","5.25%","5.00%","5.00%","","03289"
"2007/01/11","08:45","EUR","M","Minimum Bid Rate","3.50%","3.50%","3.50%","","03290"
"2007/01/11","09:00","USD","L","FOMC Member Geithner Speaks","","","","","03308"
"2007/01/11","09:30","EUR","H","ECB Press Conference","","","","","03291"
"2007/01/11","09:30","USD","L","Unemployment Claims","299K","320K","329K","","03292"
"2007/01/11","11:30","GBP","L","CB Leading Index m/m","0.1%","","0.0%","-0.1%","03309"
"2007/01/11","11:30","USD","L","Natural Gas Storage","-49B","-45B","-47B","","08325"
"2007/01/11","17:45","NZD","M","Building Consents m/m","-12.0%","","-3.6%","-1.9%","09874"
"2007/01/11","19:50","JPY","L","Bank Lending y/y","1.7%","","1.2%","","11985"
"2007/01/11","19:50","JPY","L","M2 Money Stock y/y","0.8%","0.8%","0.7%","","03310"
"2007/01/11","20:01","GBP","L","NIESR GDP Estimate","0.7%","","0.6%","","09923"
"2007/01/12","01:00","JPY","L","Economy Watchers Sentiment","48.9","49.8","48.9","","03303"
"2007/01/12","03:45","EUR","L","French CPI m/m","0.2%","0.1%","0.1%","","03304"
"2007/01/12","09:30","USD","H","Core Retail Sales m/m","1.0%","0.5%","1.1%","","03294"
"2007/01/12","09:30","USD","H","Retail Sales m/m","0.9%","0.6%","1.0%","","03293"
"2007/01/12","09:30","USD","M","Import Prices m/m","1.1%","0.5%","0.2%","","03296"
"2007/01/12","11:00","USD","M","Business Inventories m/m","0.4%","0.4%","0.2%","0.4%","03295"
"2007/01/12","15:00","USD","M","Federal Budget Balance","44.5B","25.6B","-75.6B","","10917"
"2007/01/14","19:30","AUD","L","MI Inflation Gauge m/m","0.3%","","0.2%","","03338"
"2007/01/14","19:50","JPY","M","Core Machinery Orders m/m","3.8%","4.2%","2.8%","","03398"
"2007/01/14","20:30","AUD","M","Home Loans m/m","-0.6%","0.0%","-0.2%","-0.1%","10266"
"2007/01/14","22:00","CNY","L","M2 Money Supply y/y","16.9%","16.7%","16.8%","","24236"
"2007/01/14","22:00","CNY","M","New Loans","214B","","194B","","24331"
"2007/01/15","00:01","USD","N","Bank Holiday [All Day]","","","","","03343"
"2007/01/15","05:00","EUR","L","Italian Industrial Production m/m","-0.3%","0.3%","0.6%","","03339"
"2007/01/15","05:15","CNY","L","Foreign Direct Investment ytd/y","4.2%","","2.1%","","19282"
"2007/01/15","05:30","EUR","L","Sentix Investor Confidence","29.5","30.2","29.1","","11281"
"2007/01/15","05:30","GBP","H","PPI Input m/m","0.1%","0.2%","0.1%","","03340"
"2007/01/15","05:30","GBP","L","HPI y/y","8.9%","9.1%","8.6%","","09338"
"2007/01/15","05:30","GBP","L","PPI Output m/m","0.2%","0.0%","0.0%","","03341"
"2007/01/15","06:00","EUR","M","Industrial Production m/m","0.2%","0.6%","-0.2%","-0.1%","03342"
"2007/01/15","09:30","CAD","L","New Motor Vehicle Sales m/m","3.0%","3.0%","-1.9%","-1.6%","03399"
"2007/01/15","17:00","NZD","H","NZIER Business Confidence","3","","-19","","10492"
"2007/01/15","19:50","JPY","L","PPI y/y","2.5%","2.5%","2.7%","","03345"
"2007/01/15","20:01","GBP","M","RICS House Price Balance","37%","46%","47%","","03347"
"2007/01/16","00:30","JPY","L","Revised Industrial Production m/m","0.8%","0.7%","0.7%","","09999"
"2007/01/16","05:30","GBP","H","CPI y/y","3.0%","2.8%","2.7%","","03348"
"2007/01/16","05:30","GBP","L","RPI y/y","4.4%","4.2%","3.9%","","03350"
"2007/01/16","05:30","GBP","M","Core CPI y/y","1.8%","1.7%","1.6%","","03349"
"2007/01/16","06:00","EUR","L","ZEW Economic Sentiment","-1.8","-5.0","-3.0","","03352"
"2007/01/16","06:00","EUR","M","German ZEW Economic Sentiment","-3.6","-12.0","-19.0","","03351"
"2007/01/16","08:00","GBP","M","MPC Member Sentance Speaks","","","","","09297"
"2007/01/16","09:30","USD","M","Empire State Manufacturing Index","9.1","18.0","23.1","","03353"
"2007/01/16","10:00","CAD","H","BOC Rate Statement","","","","","07983"
"2007/01/16","10:00","CAD","H","Overnight Rate","4.25%","4.25%","4.25%","","03354"
